code,description,concept_id,vocabulary_id,domain_id,standard_concept
QBFA012,"Abdominal dermolipectomy with transposition of the umbilicus, liposuction of the abdomen and closure of diastasis of the rectus abdominis muscles",,,,Non-standard
QBFA006,"Abdominal dermolipectomy without transposition of the umbilicus, with closure of diastasis of the right muscles of the abdomen",,,,Non-standard
QBFA013,"Abdominal dermolipectomy without transposition of the umbilicus, with liposuction of the abdomen",,,,Non-standard
QBFA010,"Abdominal dermolipectomy without transposition of the umbilicus, with liposuction of the abdomen and closure of diastasis of the right muscles of the abdomen",,,,Non-standard
QBFA011,Abdominal dermolipectomy without umbilicus transposition,,,,Non-standard
JQGA001,"Abdominal ectopic pregnancy extraction beyond 13 weeks of amenorrhea, by laparotomy",,,,Non-standard
12.04.03.06,Abdominal wall prosthesis removal,,,,Non-standard
16.06.08,Ablation and change of breast prosthetic implant,,,,Non-standard
13.03.02.07,Ablation and change of scapulohumeral prosthesis,,,,Non-standard
LAGA006,"Ablation of a cranial or facial intraosseous implant without bone resection, by direct approach",,,,Non-standard
DEGF001,"Ablation of a definitive intracavitary cardiac stimulation or defibrillation lead using a specific device, via the transcutaneous venous route",,,,Non-standard
DEGF005,"Ablation of a definitive intracavitary defibrillation lead and a definitive intracavitary cardiac stimulation lead using a specific device, via the transcutaneous venous route",,,,Non-standard
DEGF006,"Ablation of a definitive intracavitary defibrillation lead and a definitive intracavitary cardiac stimulation lead without the use of a specific device, by the transcutaneous venous route",,,,Non-standard
DEGF004,"Ablation of a definitive intracavitary stimulation or cardiac defibrillation lead without the use of a specific device, by the transcutaneous venous route",,,,Non-standard
HGGE001,"Ablation of a duodenal stent graft, by eso-gastro-duodenoscopy",,,,Non-standard
HGPC005,"Ablation of a peritoneal dialysis catheter, by laparoscopy",,,,Non-standard
DFGA004,"Ablation of a pulmonary cerclage with closure of a single interventricular communication, by thoracotomy with CEC",,,,Non-standard
DHGF001,"Ablation of a temporary filter of the inferior vena cava, by the transcutaneous venous route",,,,Non-standard
EQGA002,"Ablation of an extracorporeal circulation [ECC] for long-term circulatory support, by thoracotomy",,,,Non-standard
HPGA002,"Ablation of an intraperitoneal balloon, by laparotomy",,,,Non-standard
QZGP009,"Ablation of autologous keratinocyte culture media for burns, on 10% to 20% of the body surface",,,,Non-standard
QZGP001,"Ablation of autologous keratinocyte culture media for burns, on 20% to 30% of the body surface",,,,Non-standard
QZGP002,"Ablation of autologous keratinocyte culture media for burns, on 30% to 40% of the body surface",,,,Non-standard
QZGP006,"Ablation of autologous keratinocyte culture media for burns, on 40% to 50% of the body surface",,,,Non-standard
QZGP004,"Ablation of autologous keratinocyte culture media for burns, on less than 10% of the body surface",,,,Non-standard
QZGP007,"Ablation of autologous keratinocyte culture media for burns, over more than 50% of the body surface",,,,Non-standard
LZGA001,"Ablation of biomaterial from the face and / or neck, by direct approach",,,,Non-standard
PAGH001,"Ablation of buried osteosynthesis material, by the transcutaneous route with radiological guidance",,,,Non-standard
PAGB002,"Ablation of buried osteosynthesis material, by the transcutaneous route without guidance",,,,Non-standard
PAGB001,"Ablation of buried osteosynthesis wire, transcutaneously without guidance",,,,Non-standard
LAGA002,"Ablation of internal osteosynthesis material from the facial mass at 3 or more sites, by direct approach",,,,Non-standard
BEGA002,Ablation of mechanical aqueous humor drainage system,,,,Non-standard
BDGA002,Ablation of multiple unilateral or bilateral deep [stromal] foreign bodies from the cornea,,,,Non-standard
LAGA001,"Ablation of several cranial and / or facial intraosseous implants without bone resection, by facial approach",,,,Non-standard
DEGF002,"Ablation of several definitive intracavitary cardiac stimulation leads without the use of a specific device, by the transcutaneous venous route",,,,Non-standard
DEGF003,"Ablation of several definitive intracavitary cardiac stimulation probes with the use of a specific device, by the transcutaneous venous route",,,,Non-standard
BDGA004,Ablation of superficial and deep multiple unilateral or bilateral corneal foreign bodies,,,,Non-standard
HMGH003,"Ablation or change of biliary endoprosthesis, by a transcutaneous drain already in place with ultrasound and / or radiological guidance",,,,Non-standard
JLGD001,Ablation or change of intravaginal device,,,,Non-standard
15.02.07,"Ablation, change and modification of osteosynthesis material, without topographic precision",,,,Non-standard
QANP001,"Abrasion of the entire face, with pulsed or scanned CO2 laser, or with erbium Yag laser",,,,Non-standard
JKNE001,"Abrasion of the lining of the uterus [Endometrectomy], by hysteroscopy",,,,Non-standard
HANP002,Abrasion of the mucous membrane of the lips and perioral skin with laser,,,,Non-standard
GGNC001,"Abrasion or resection of the parietal pleura, by thoracoscopy",,,,Non-standard
GGNA001,"Abrasion or resection of the parietal pleura, by thoracotomy",,,,Non-standard
YYYY588,Accelerator cyclotherapy irradiation by fraction of 9 centiGrays for beams of 25 MeV or more,,,,Non-standard
YYYY306,Accelerator cyclotherapy irradiation by fraction of 9 Grays for beams of 25 MeV or more,,,,Non-standard
NEMA020,Acetabuloplasty with osteotomy of the femur,,,,Non-standard
NACA003,"Acetabulum fracture osteosynthesis, by anterior approach",,,,Non-standard
NACA005,"Acetabulum fracture osteosynthesis, by posterior approach",,,,Non-standard
YYYY146,Achievement of somesthetic evoked potentials during spinal surgery,,,,Non-standard
GAQD006,Acoustic rhinometry with provocation test,,,,Non-standard
GAQD004,Acoustic rhinometry without provocation test,,,,Non-standard
JCSA003,Acquired ureterocutaneous fistula closure by direct approach,,,,Non-standard
JCSA004,Acquired ureterovaginal fistula closure by direct approach,,,,Non-standard
JDSA008,Acquired vesicocutaneous fistula closure by direct approach,,,,Non-standard
MEMC001,"Acromioclavicular arthroplasty by resection of the lateral end of the clavicle, by arthroscopy",,,,Non-standard
MEMA011,"Acromioclavicular arthroplasty by resection of the lateral end of the clavicle, by arthrotomy",,,,Non-standard
MEMC005,"Acromioplasty without prosthesis with acromioclavicular arthroplasty by resection of the lateral end of the clavicle, by arthroscopy",,,,Non-standard
MEMA017,"Acromioplasty without prosthesis with acromioclavicular arthroplasty by resection of the lateral end of the clavicle, by direct approach",,,,Non-standard
MEMC003,"Acromioplasty without prosthesis, by arthroscopy",,,,Non-standard
MEMA006,"Acromioplasty without prosthesis, by direct approach",,,,Non-standard
ADA,Act of anesthesia,,,,Non-standard
9,"ACTS CONCERNING PROCREATION, PREGNANCY AND THE NEWBORN",,,,Non-standard
AXI,Acts of Prophylaxis and Prevention,,,,Non-standard
09.03.01,Acts related to pregnancy ending in abortion,,,,Non-standard
09.03,ACTS RELATED TO PREGNANCY IN THE MOTHER,,,,Non-standard
17,ACTS WITHOUT TOPOGRAPHICAL PRECISION,,,,Non-standard
QZRB001,Acupuncture session,,,,Non-standard
GLMP001,"Adaptation of a continuous positive ventilatory pressure [PPC] by means of a self-adjusting pressure system with recording of the pressure in the mask, per 24 hours",,,,Non-standard
PZMP002,Adaptation of a modular articulated limb orthosis,,,,Non-standard
04.05.08.05,Adaptation of arteriovenous vascular access,,,,Non-standard
02.06.02,Adaptation of contact lens or scleral lens,,,,Non-standard
06.04.01,Adaptation of non-invasive ventilation,,,,Non-standard
19,ADAPTATIONS FOR THE TRANSITIONAL CCAM,,,,Non-standard
HBMD689,"Addition of 1 element in ceramic extension or in mineral equivalents, other than a canine, to a fixed multiple prosthesis [bridge] comprising at least 2 anchoring pillars and 1 intermediate element",,,,Non-standard
HBMD479,Addition of a 1st intermediate ceramometallic element or in mineral equivalents to a fixed plural dental prosthesis [2nd ceramometallic element or in intermediate mineral equivalents of bridge],,,,Non-standard
HBMD490,Addition of a 1st intermediate metallic element to a fixed plural dental prosthesis [2nd intermediate metallic bridge element],,,,Non-standard
HBMD433,Addition of a 2nd intermediate ceramic element or in mineral equivalents to a fixed plural dental prosthesis [3rd ceramic element or intermediate mineral equivalents of bridge],,,,Non-standard
HBMD342,Addition of a 2nd metallic intermediate element to a plural dental prosthesis [3rd intermediate metallic bridge element],,,,Non-standard
HBMD087,Addition of a ceramometallic anchoring abutment or in mineral equivalents to a fixed plural dental prosthesis [bridge abutment],,,,Non-standard
HBMD081,Addition of a metal anchoring pillar to a fixed multiple dental prosthesis [bridge pillar],,,,Non-standard
HBMD776,"Addition of a metal extension element, other than a canine, to a fixed multiple prosthesis [bridge] comprising at least 2 anchoring pillars and 1 intermediate element",,,,Non-standard
HBMD017,Addition or change of 1 element of a removable dental prosthesis,,,,Non-standard
HBMD249,Addition or change of 1 element welded to a removable dental prosthesis on a metal frame,,,,Non-standard
HBMD329,Addition or change of 10 elements of a removable dental prosthesis,,,,Non-standard
HBMD410,Addition or change of 10 welded elements of a removable dental prosthesis on a metal frame,,,,Non-standard
HBMD226,Addition or change of 11 elements of a removable dental prosthesis,,,,Non-standard
HBMD429,Addition or change of 11 welded elements of a removable dental prosthesis on a metal frame,,,,Non-standard
HBMD387,Addition or change of 12 elements of a removable dental prosthesis,,,,Non-standard
HBMD281,Addition or change of 12 welded elements of a removable dental prosthesis on a metal frame,,,,Non-standard
HBMD134,Addition or change of 13 elements of a removable dental prosthesis,,,,Non-standard
HBMD200,Addition or change of 13 welded elements of a removable dental prosthesis on a metal frame,,,,Non-standard
HBMD174,Addition or change of 14 elements of a removable dental prosthesis,,,,Non-standard
HBMD298,Addition or change of 14 welded elements of a removable dental prosthesis on a metal frame,,,,Non-standard
HBMD114,Addition or change of 2 elements of a removable dental prosthesis,,,,Non-standard
HBMD292,Addition or change of 2 welded elements of a removable dental prosthesis on a metal frame,,,,Non-standard
HBMD322,Addition or change of 3 elements of a removable dental prosthesis,,,,Non-standard
HBMD188,Addition or change of 3 welded elements of a removable dental prosthesis on a metal frame,,,,Non-standard
HBMD404,Addition or change of 4 elements of a removable dental prosthesis,,,,Non-standard
HBMD432,Addition or change of 4 welded elements of a removable dental prosthesis on a metal frame,,,,Non-standard
HBMD245,Addition or change of 5 elements of a removable dental prosthesis,,,,Non-standard
HBMD283,Addition or change of 5 welded elements of a removable dental prosthesis on a metal frame,,,,Non-standard
HBMD198,Addition or change of 6 elements of a removable dental prosthesis,,,,Non-standard
HBMD439,Addition or change of 6 welded elements of a removable dental prosthesis on a metal frame,,,,Non-standard
HBMD373,Addition or change of 7 elements of a removable dental prosthesis,,,,Non-standard
HBMD425,Addition or change of 7 welded elements of a removable dental prosthesis on a metal frame,,,,Non-standard
HBMD228,Addition or change of 8 elements of a removable dental prosthesis,,,,Non-standard
HBMD444,Addition or change of 8 welded elements of a removable dental prosthesis on a metal frame,,,,Non-standard
HBMD286,Addition or change of 9 elements of a removable dental prosthesis,,,,Non-standard
HBMD485,Addition or change of 9 welded elements of a removable dental prosthesis on a metal frame,,,,Non-standard
07.02.03.05,Addition or change of dental prosthesis element,,,,Non-standard
07.02.03.06,Addition or change of welded element of dental prosthesis,,,,Non-standard
HBMD082,"Addition to a fixed plural dental prosthesis of an additional metallic intermediate element, beyond the 3rd",,,,Non-standard
HBMD072,"Addition to a fixed plural dental prosthesis of an intermediate ceramometallic element or additional mineral equivalents, beyond the 3rd",,,,Non-standard
HBBA002,Additive osteoplasty of the alveolar arch in a sector of 4 to 6 teeth,,,,Non-standard
HBBA003,Additive osteoplasty of the alveolar arch on a sector of 1 to 3 teeth,,,,Non-standard
HBBA004,Additive osteoplasty of the alveolar arch on a sector of 7 teeth or more,,,,Non-standard
FAFA008,Adenoidectomy,,,,Non-standard
FAFA002,Adenoidectomy with bilateral transtympanic aerator placement,,,,Non-standard
FAFA013,Adenoidectomy with unilateral or bilateral myringotomy,,,,Non-standard
FAFA001,Adenoidectomy with unilateral transtympanic aerator placement,,,,Non-standard
01.04.02,Adjustment and reprogramming of a central nervous system stimulation system,,,,Non-standard
GLMF001,"Adjustment of non-invasive ventilation settings by repeated blood gas measurements, per 24 hours",,,,Non-standard
GLQF001,"Adjustment of the oxygen flow rate by repeated measurements of the blood gases, for initiation or adaptation of oxygen therapy with a defined flow rate, per 24 hours",,,,Non-standard
GLQP001,"Adjustment of the oxygen flow rate by transcutaneous monitoring of oxygen saturation, for initiation or adaptation of oxygen therapy at a defined flow rate in children, per 24 hours",,,,Non-standard
17.03.04,Administration of anticancer pharmacological agent,,,,Non-standard
GLLD005,Administration of inhaled nitric oxide [NO] to a ventilated patient,,,,Non-standard
KEQL002,Adrenal cortex scintigraphy,,,,Non-standard
KEQL001,Adrenal medulla scintigraphy,,,,Non-standard
ALQP005,Adult intellectual efficiency assessment test,,,,Non-standard
NJEA005,Alignment of a toe camptodactyly by soft tissue release,,,,Non-standard
JEEE001,"Alignment of traumatic rupture of the urethra, by endoscopy",,,,Non-standard
FGRD004,Allergen challenge test administered in increasing concentration by the nasal route,,,,Non-standard
05.01.05.02,Allergic provocation tests,,,,Non-standard
05.01.05.01,Allergic skin tests,,,,Non-standard
FGRP006,Allergological provocation test by several native foods administered by lip contact,,,,Non-standard
FGRB002,Allergological test by intradermal injection of a substance administered in increasing concentration,,,,Non-standard
FGRB001,Allergological test by intradermal injection of several substances administered in increasing concentration with at least 2 dilutions,,,,Non-standard
FGRB005,Allergological test by intradermal injection of substances administered at a fixed concentration,,,,Non-standard
FGRB004,Allergological test by skin prick with native foods,,,,Non-standard
FGRB003,Allergological test by skin prick with substances administered at fixed concentration,,,,Non-standard
LBPA016,"Alveolar segmental osteotomy of the mandible behind the mental foramen, by intraoral approach",,,,Non-standard
LBPA026,"Alveolar segmental osteotomy of the mandible in front of the mental holes, by intraoral approach",,,,Non-standard
LBPA036,"Alveolar segmental osteotomy of the mandible in front of the mental holes, with anterior segmental maxillary osteotomy, by intraoral approach",,,,Non-standard
LBPA039,"Alveolar segmental osteotomy of the mandible in front of the mental holes, with transposition osteotomy of the bony chin, by intraoral approach",,,,Non-standard
JPLB001,"Amnio-infusion, transcutaneously",,,,Non-standard
JPHJ002,"Amniocentesis on a single amniotic sac, with ultrasound guidance",,,,Non-standard
JPHJ001,"Amniocentesis on several amniotic sacs, with ultrasound guidance",,,,Non-standard
JPQE001,Amnioscopy,,,,Non-standard
MZFA007,"Amputation and / or disarticulation of several fingers, without resection of the metacarpals",,,,Non-standard
HBFD014,Amputation and / or root or coronoradicular separation of a tooth,,,,Non-standard
14.05.04,Amputation and disarticulation in the lower limb,,,,Non-standard
13.05.03,Amputation and disarticulation of the upper limb,,,,Non-standard
MZFA008,Amputation of a supernumerary finger other than the thumb,,,,Non-standard
MZFA012,Amputation of a supernumerary finger other than the thumb with bone resection,,,,Non-standard
MZFA014,Amputation of a supernumerary thumb,,,,Non-standard
MZFA015,"Amputation of a supernumerary thumb, with osteotomy or capsuloplasty",,,,Non-standard
NZFA011,"Amputation of a supernumerary toe, with joint reconstruction",,,,Non-standard
NZFA012,"Amputation of a supernumerary toe, without joint reconstruction",,,,Non-standard
JMFA006,Amputation of the clitoris [Clitoridectomy],,,,Non-standard
GAFA008,Amputation of the nasal pyramid,,,,Non-standard
GAFA004,Amputation of the nasal pyramid extended to the philtrum and / or the cheek,,,,Non-standard
HJFA019,"Amputation of the rectum, by laparoscopy or by laparotomy with preparation by laparoscopy and perineal approach",,,,Non-standard
HJFA007,"Amputation of the rectum, by laparotomy and perineal approach",,,,Non-standard
HJFA005,"Amputation of the rectum, by perineal approach",,,,Non-standard
NZFA005,"Amputation or disarticulation at the midfoot or forefoot, without stabilization of the hindfoot",,,,Non-standard
MZFA013,"Amputation or disarticulation of a finger, without resection of the metacarpal",,,,Non-standard
NZFA010,Amputation or disarticulation of a toe,,,,Non-standard
NZFA004,Amputation or disarticulation of several toes,,,,Non-standard
NZFA009,Amputation or disarticulation of the ankle or hindfoot,,,,Non-standard
NZFA013,"Amputation or disarticulation of the midfoot or forefoot, with stabilization of the hindfoot",,,,Non-standard
07.03.08.02,Anal dilation,,,,Non-standard
07.03.08.07,Anal fissure excision,,,,Non-standard
07.03.08.06,Anal sphincterotomy,,,,Non-standard
HJCD001,"Anal wound suture of the rectum, with repair of the external sphincter muscle of the anus",,,,Non-standard
HJCD002,"Anal wound suture of the rectum, without repair of the external sphincter muscle of the anus",,,,Non-standard
ANLB003,Analgesic mesotherapy session,,,,Non-standard
CEQP005,Analysis of static and / or dynamic vertical posture on a force platform [Posturography],,,,Non-standard
AHQB008,Analytical electromyography of the perineum by needle electrode,,,,Non-standard
AHQB028,"Analytical electromyography of the perineum with study of the latencies of the sacral reflexes, by needle electrode",,,,Non-standard
AHQB002,Analytical electromyography of the perineum with study of the latency of the bulbocavernous reflex and of the cerebral somesthetic evoked potentials by stimulation of the pudendal nerve [shameful nerve],,,,Non-standard
AHQB003,"Analytical electromyography of the perineum with study of the motor latency of the pudendal nerve [shameful nerve], by needle electrode",,,,Non-standard
AHQD001,"Analytical electromyography of the perineum, studying the latencies of the sacral reflexes and the distal latencies of the pudendal nerve [shameful nerve] by intrarectal stimulation",,,,Non-standard
AHQD002,"Analytical electromyography of the perineum, with study of latencies of sacral reflexes, distal latencies of the pudendal nerve [shameful nerve] by intrarectal stimulation and cerebral somesthetic evoked potentials by stimulation of the pudendal nerve",,,,Non-standard
AHQB016,"Analytical electromyography of the perineum, with study of the latencies of the sacral reflexes, the sensory conduction speed of the dorsal nerve of the penis, the cerebral somesthetic evoked potentials and the sympathetic perineal skin responses",,,,Non-standard
EHCA010,"Anastomosis between a branch of the portal system and the upper vena cava system, by direct approach",,,,Non-standard
EHCA005,"Anastomosis between a branch of the portal system other than the splenic vein or the superior mesenteric vein and the inferior vena cava system, by laparotomy",,,,Non-standard
HNCJ001,"Anastomosis between a collected pancreatic cavity and the stomach or duodenum, by eso-gastro-duodenoscopy with endoscopic echo guidance",,,,Non-standard
HNCA001,"Anastomosis between a false cyst of the pancreas and the duodenum [Cystoduodenostomy], by laparotomy",,,,Non-standard
HNCC033,"Anastomosis between a false cyst of the pancreas and the jejunum [Kystojejunostomy], by laparoscopy",,,,Non-standard
HNCA005,"Anastomosis between a false cyst of the pancreas and the jejunum [Kystojejunostomy], by laparotomy",,,,Non-standard
HNCC021,"Anastomosis between a false cyst of the pancreas and the stomach [Cystogastrostomy], by laparoscopy",,,,Non-standard
HNCA008,"Anastomosis between a false cyst of the pancreas and the stomach [Cystogastrostomy], by laparotomy",,,,Non-standard
HNCE001,"Anastomosis between a false cyst of the pancreas and the stomach or duodenum, by oeso-gastro-duodenoscopy without guidance [Endoscopic cystogastrostomy or cystoduodenostomy]",,,,Non-standard
HNCH001,"Anastomosis between a false cyst of the pancreas and the stomach or duodenum, by the transcutaneous route with ultrasound and / or radiological guidance [Transcutaneous cystogastrostomy or cystoduodenostomy]",,,,Non-standard
ELCA003,"Anastomosis between the artery or the dorsal vein of the penis and the femoral artery, by direct approach",,,,Non-standard
ELCA004,"Anastomosis between the artery or the dorsal vein of the penis and the inferior epigastric artery, by direct approach",,,,Non-standard
DFCA010,"Anastomosis between the pulmonary trunk and the aorta with systemicopulmonary anastomosis, by thoracotomy with CEC",,,,Non-standard
DFCA006,"Anastomosis between the trunk of the pulmonary artery and the ascending thoracic aorta, by thoracotomy with CEC",,,,Non-standard
HEMA007,Anastomotic esophageal stenosis plasty by cervicotomy,,,,Non-standard
DZMA003,"Anatomical repair at the arterial and atrial level of the atrioventricular discordance and of the transposition or malposition of the great vessels with interventricular communication, by thoracotomy with CEC",,,,Non-standard
DZMA002,"Anatomical repair of the atrioventricular discordance and of the transposition or malposition of the great vessels with interventricular communication and pulmonary stenosis at the ventricular and atrial level, by thoracotomy with CEC",,,,Non-standard
19.02.10,Anatomocytopathology,,,,Non-standard
19.01.13,Anatomocytopathology,,,,Non-standard
HHQX007,Anatomopathological examination for carcinological aim of appendectomy specimen,,,,Non-standard
KDQX005,Anatomopathological examination for carcinological aim of parathyroidectomy specimen,,,,Non-standard
JJQX005,Anatomopathological examination for carcinological aim of part of several partial and / or total oophorectomies,,,,Non-standard
JHQX008,Anatomopathological examination for carcinological aim of partial amputation of the penis,,,,Non-standard
GFQX008,"Anatomopathological examination for carcinological aim of pneumonectomy or multiple pulmonary lobectomies, without resection of rib or vertebra",,,,Non-standard
JKQX004,"Anatomopathological examination for carcinological purposes of a hysterectomy part, without adnexectomy",,,,Non-standard
JKQX005,"Anatomopathological examination for carcinological purposes of a hysterectomy specimen, with annexectomy",,,,Non-standard
GCQX005,Anatomopathological examination for carcinological purposes of a nasopharyngeal excision piece,,,,Non-standard
BZQX004,Anatomopathological examination for carcinological purposes of a part of excisional organ accessory of the eye,,,,Non-standard
HHQX011,Anatomopathological examination for carcinological purposes of a part of total coloprotectomy,,,,Non-standard
JAQX004,Anatomopathological examination for carcinological purposes of a part of total nephrectomy or nephro-ureterectomy,,,,Non-standard
JHQX005,Anatomopathological examination for carcinological purposes of a part of total orchiectomy,,,,Non-standard
JGQX004,Anatomopathological examination for carcinological purposes of a part of total vesiculoprostatectomy,,,,Non-standard
QEQX008,Anatomopathological examination for carcinological purposes of a partial or total mastectomy part with subclinical lesion or plurifocal lesion,,,,Non-standard
PAQX004,Anatomopathological examination for carcinological purposes of a piece of bone and / or cartilage tumor removal,,,,Non-standard
HMQX005,Anatomopathological examination for carcinological purposes of a piece of cholecystectomy,,,,Non-standard
JKQX007,Anatomopathological examination for carcinological purposes of a piece of conization of the cervix,,,,Non-standard
HGQX005,Anatomopathological examination for carcinological purposes of a piece of endoscopic excision of the small intestine,,,,Non-standard
DZQX005,Anatomopathological examination for carcinological purposes of a piece of excision of a heart tumor,,,,Non-standard
QEQX006,Anatomopathological examination for carcinological purposes of a piece of excision of a lactiferous duct [pyramidectomy],,,,Non-standard
HCQX004,Anatomopathological examination for carcinological purposes of a piece of salivary gland excision,,,,Non-standard
HLQX008,Anatomopathological examination for carcinological purposes of a piece of total hepatectomy,,,,Non-standard
JKQX006,Anatomopathological examination for carcinological purposes of a piece of trachelectomy [cervicectomy] or colpotrachelectomy,,,,Non-standard
GGQX004,Anatomopathological examination for carcinological purposes of a pleural tumor excision piece,,,,Non-standard
HHQX010,Anatomopathological examination for carcinological purposes of a total colectomy part,,,,Non-standard
KEQX004,Anatomopathological examination for carcinological purposes of adrenalectomy specimen,,,,Non-standard
HHQX008,Anatomopathological examination for carcinological purposes of an endoscopic excision piece of 6 or more lesions of the colon and / or rectum,,,,Non-standard
HEQX005,Anatomopathological examination for carcinological purposes of endoscopic excisional part of the esophagus,,,,Non-standard
HFQX005,Anatomopathological examination for carcinological purposes of endoscopic gastric resection,,,,Non-standard
BHQX005,Anatomopathological examination for carcinological purposes of enucleation part of the ocular bulb [globe],,,,Non-standard
FCQX010,Anatomopathological examination for carcinological purposes of excision parts from 2 or 3 lymphonodal groups [lymph nodes],,,,Non-standard
FCQX012,Anatomopathological examination for carcinological purposes of excision parts from 4 to 6 lymphonodal groups [lymph nodes],,,,Non-standard
FCQX011,Anatomopathological examination for carcinological purposes of excision pieces from 7 lymphonodal groups [lymph nodes] or more,,,,Non-standard
FCQX006,Anatomopathological examination for carcinological purposes of excisional part of a lymphonodal group [lymph node],,,,Non-standard
GFQX005,"Anatomopathological examination for carcinological purposes of excisional part of a pulmonary lobectomy, with resection of the rib and / or vertebra",,,,Non-standard
GFQX004,"Anatomopathological examination for carcinological purposes of excisional part of a pulmonary lobectomy, without resection of rib or vertebra",,,,Non-standard
AZQX005,"Anatomopathological examination for carcinological purposes of excisional part of a tumor of the brain, spinal cord, or meninges",,,,Non-standard
QEQX010,Anatomopathological examination for carcinological purposes of excisional part of several lactiferous ducts [pyramidectomies],,,,Non-standard
HKQX005,Anatomopathological examination for carcinological purposes of excisional part of the anal canal and / or the anal margin,,,,Non-standard
HMQX004,Anatomopathological examination for carcinological purposes of excisional part of the extrahepatic bile duct,,,,Non-standard
HAQX005,"Anatomopathological examination for carcinological purposes of excisional part of the lip, labial commissure and / or oral mucosa",,,,Non-standard
HAQX017,"Anatomopathological examination for carcinological purposes of glossectomy, oral pelvectomy, pelviglossectomy or oropharyngectomy without mandibulectomy",,,,Non-standard
GFQX006,"Anatomopathological examination for carcinological purposes of non-anatomical pulmonary excision and / or segmentectomy, undifferentiated, without resection of rib or vertebra",,,,Non-standard
GFQX010,"Anatomopathological examination for carcinological purposes of non-anatomical pulmonary excision and / or segmentectomy, with rib and / or vertebra resection",,,,Non-standard
JJQX004,Anatomopathological examination for carcinological purposes of part of a partial or total oophorectomy,,,,Non-standard
KCQX005,Anatomopathological examination for carcinological purposes of part of a thyroid lobectomy or lobo-isthmectomy,,,,Non-standard
PZQX004,"Anatomopathological examination for carcinological purposes of part of partial or total amputation of the hand, foot or of several fingers or toes",,,,Non-standard
HFQX008,Anatomopathological examination for carcinological purposes of part of total gastrectomy or degastrogastrectomy,,,,Non-standard
HHQX006,Anatomopathological examination for carcinological purposes of partial colectomy or rectosigmoidectomy part without resection of the mesorectum,,,,Non-standard
HFQX004,Anatomopathological examination for carcinological purposes of partial gastrectomy part,,,,Non-standard
JAQX005,Anatomopathological examination for carcinological purposes of partial nephrectomy part,,,,Non-standard
JLQX004,Anatomopathological examination for carcinological purposes of partial or total colpectomy part,,,,Non-standard
HEQX004,Anatomopathological examination for carcinological purposes of partial or total esophagectomy part,,,,Non-standard
JCQX004,Anatomopathological examination for carcinological purposes of partial or total urethrectomy part,,,,Non-standard
HNQX008,"Anatomopathological examination for carcinological purposes of partial pancreatectomy part, without splenectomy",,,,Non-standard
HAQX004,"Anatomopathological examination for carcinological purposes of pelvimandibulectomy, pelvi-glosso-mandibulectomy or oropharyngectomy with mandibulectomy",,,,Non-standard
GFQX007,"Anatomopathological examination for carcinological purposes of pneumonectomy or multiple pulmonary lobectomies, with resection of the rib and / or vertebra",,,,Non-standard
HJQX004,"Anatomopathological examination for carcinological purposes of rectosigmoidectomy, or partial or total rectal resection, removing the mesorectum",,,,Non-standard
HGQX008,Anatomopathological examination for carcinological purposes of segmental excisional part of the small intestine,,,,Non-standard
KCQX004,Anatomopathological examination for carcinological purposes of subtotal or total thyroidectomy specimen,,,,Non-standard
FAQX004,Anatomopathological examination for carcinological purposes of tonsillectomy specimen,,,,Non-standard
