source_code,source_name,rank,target_concept_id,target_concept_code,target_concept_name,target_vocabulary_id,similarity
AMQP015,"12-24 hour polysomnography, with video recording",3,40757072,95800,"Sleep study, unattended, simultaneous recording; heart rate, oxygen saturation, respiratory analysis (eg, by airflow or peripheral arterial tone), and sleep time",CPT4,0.7576
AMQP015,"12-24 hour polysomnography, with video recording",4,2314096,95806,"Sleep study, unattended, simultaneous recording of, heart rate, oxygen saturation, respiratory airflow, and respiratory effort (eg, thoracoabdominal movement)",CPT4,0.7569
AMQP015,"12-24 hour polysomnography, with video recording",5,40756854,95801,"Sleep study, unattended, simultaneous recording; minimum of heart rate, oxygen saturation, and respiratory analysis (eg, by airflow or peripheral arterial tone)",CPT4,0.7547
LJMA003,2 to 5 rib thoracoplasty,1,2843298,0PQ1,"Medical and Surgical @ Upper Bones @ Repair @ Ribs, 1 to 2",ICD10PCS,0.8075
LJMA003,2 to 5 rib thoracoplasty,2,2106686,32035,Thoracostomy; with rib resection for empyema,CPT4,0.7967
LJMA003,2 to 5 rib thoracoplasty,3,4298414,77635005,Bone graft of rib with microvascular anastomosis,SNOMED,0.7875
LJMA003,2 to 5 rib thoracoplasty,4,2805923,0PW1,"Medical and Surgical @ Upper Bones @ Revision @ Ribs, 1 to 2",ICD10PCS,0.7835
LJMA003,2 to 5 rib thoracoplasty,5,4080174,238331004,Limited thoracoplasty,SNOMED,0.7760
KZQL003,2-step somatostatin analog scintigraphy,1,35622512,764277001,Radionuclide imaging using radioisotope labeled somatostatin analog,SNOMED,0.8552
KZQL003,2-step somatostatin analog scintigraphy,2,45767169,704496006,Radionuclide imaging using yttrium (90-Y) labeled somatostatin analog,SNOMED,0.7578
KZQL003,2-step somatostatin analog scintigraphy,3,44791151,232091000000105,Radiolabelled octreotide imaging,SNOMED,0.7502
KZQL003,2-step somatostatin analog scintigraphy,4,4059686,169165009,Isotope dynamic spleen scan,SNOMED,0.7294
KZQL003,2-step somatostatin analog scintigraphy,5,44792161,323271000000103,Radiolabelled whole body octreotide study,SNOMED,0.7224
KZQL004,2-step somatostatin analog scintigraphy with whole body scintigraphy complementary to a segmental image,1,35622512,764277001,Radionuclide imaging using radioisotope labeled somatostatin analog,SNOMED,0.7515
KZQL004,2-step somatostatin analog scintigraphy with whole body scintigraphy complementary to a segmental image,2,44792161,323271000000103,Radiolabelled whole body octreotide study,SNOMED,0.7194
KZQL004,2-step somatostatin analog scintigraphy with whole body scintigraphy complementary to a segmental image,3,45767169,704496006,Radionuclide imaging using yttrium (90-Y) labeled somatostatin analog,SNOMED,0.6977
KZQL004,2-step somatostatin analog scintigraphy with whole body scintigraphy complementary to a segmental image,4,42539236,16548241000119107,Radionuclide scan of whole body using octreotide for localization of neoplasm,SNOMED,0.6941
KZQL004,2-step somatostatin analog scintigraphy with whole body scintigraphy complementary to a segmental image,5,709992,78831,"Radiopharmaceutical localization of tumor, inflammatory process or distribution of radiopharmaceutical agent(s) (includes vascular flow and blood pool imaging, when performed); tomographic (SPECT), minimum 2 areas (eg, pelvis and knees, chest and abdom...",CPT4,0.6918
ABQP001,24 hour continuous monitoring of intracranial pressure,1,4057345,21151009,Intracranial pressure monitor maintenance,SNOMED,0.7891
ABQP001,24 hour continuous monitoring of intracranial pressure,2,2000097,01.10,Intracranial pressure monitoring,ICD9Proc,0.7823
ABQP001,24 hour continuous monitoring of intracranial pressure,3,44816461,0329T,"Monitoring of intraocular pressure for 24 hours or longer, unilateral or bilateral, with interpretation and report",CPT4,0.7599
ABQP001,24 hour continuous monitoring of intracranial pressure,4,4045963,230937006,Procedure for monitoring intracranial pressure,SNOMED,0.7525
ABQP001,24 hour continuous monitoring of intracranial pressure,5,43018286,4A108BD,"Monitoring of Intracranial Pressure, Via Natural or Artificial Opening Endoscopic",ICD10PCS,0.7229
EAQM001,24-hour continuous monitoring of intracranial arterial circulation by transcranial doppler,1,2313977,93886,Transcranial Doppler study of the intracranial arteries; complete study,CPT4,0.7380
EAQM001,24-hour continuous monitoring of intracranial arterial circulation by transcranial doppler,2,2313981,93893,Transcranial Doppler study of the intracranial arteries; venous-arterial shunt detection with intravenous microbubble injection,CPT4,0.7288
EAQM001,24-hour continuous monitoring of intracranial arterial circulation by transcranial doppler,3,4233449,440119007,Transcranial Doppler ultrasonography of intracranial artery with study of vasoreactivity,SNOMED,0.6998
EAQM001,24-hour continuous monitoring of intracranial arterial circulation by transcranial doppler,4,4208188,440044001,Transcranial Doppler ultrasonography of intracranial artery for detection of emboli,SNOMED,0.6875
EAQM001,24-hour continuous monitoring of intracranial arterial circulation by transcranial doppler,5,2313980,93892,Transcranial Doppler study of the intracranial arteries; emboli detection without intravenous microbubble injection,CPT4,0.6821
HEQD002,24-hour esophageal and / or gastric pH measurement,1,2313613,91034,"Esophagus, gastroesophageal reflux test; with nasal catheter pH electrode(s) placement, recording, analysis and interpretation",CPT4,0.7217
HEQD002,24-hour esophageal and / or gastric pH measurement,2,4098508,252417001,24 Hour ECG,SNOMED,0.7162
HEQD002,24-hour esophageal and / or gastric pH measurement,3,2313614,91035,"Esophagus, gastroesophageal reflux test; with mucosal attached telemetry pH electrode placement, recording, analysis and interpretation",CPT4,0.7117
HEQD002,24-hour esophageal and / or gastric pH measurement,4,2313616,91038,"Esophageal function test, gastroesophageal reflux test with nasal catheter intraluminal impedance electrode(s) placement, recording, analysis and interpretation; prolonged (greater than 1 hour, up to 24 hours)",CPT4,0.7018
HEQD002,24-hour esophageal and / or gastric pH measurement,5,37396252,715994002,72 hour ambulatory electrocardiographic monitoring,SNOMED,0.6634
HEQD001,"24-hour esophageal manometry, with pH measurement",1,4284251,67357007,Esophageal motility study with acid perfusion studies,SNOMED,0.7317
HEQD001,"24-hour esophageal manometry, with pH measurement",2,2313614,91035,"Esophagus, gastroesophageal reflux test; with mucosal attached telemetry pH electrode placement, recording, analysis and interpretation",CPT4,0.7258
HEQD001,"24-hour esophageal manometry, with pH measurement",3,4066403,173675002,Intubation of esophagus for pH manometry,SNOMED,0.7249
HEQD001,"24-hour esophageal manometry, with pH measurement",4,40756988,91013,"Esophageal motility (manometric study of the esophagus and/or gastroesophageal junction) study with interpretation and report; with stimulation or perfusion (eg, stimulant, acid or alkali perfusion) (List separately in addition to code for primary proc...",CPT4,0.7237
HEQD001,"24-hour esophageal manometry, with pH measurement",5,4091739,252634001,Ambulatory GIT manometry,SNOMED,0.7231
AMQP013,"8 to 12 hour polysomnography, with video recording",1,4189015,60554003,Polysomnography,SNOMED,0.8104
AMQP013,"8 to 12 hour polysomnography, with video recording",2,2314097,95807,"Sleep study, simultaneous recording of ventilation, respiratory effort, ECG or heart rate, and oxygen saturation, attended by a technologist",CPT4,0.7813
AMQP013,"8 to 12 hour polysomnography, with video recording",3,40757072,95800,"Sleep study, unattended, simultaneous recording; heart rate, oxygen saturation, respiratory analysis (eg, by airflow or peripheral arterial tone), and sleep time",CPT4,0.7704
AMQP013,"8 to 12 hour polysomnography, with video recording",4,2314096,95806,"Sleep study, unattended, simultaneous recording of, heart rate, oxygen saturation, respiratory airflow, and respiratory effort (eg, thoracoabdominal movement)",CPT4,0.7684
AMQP013,"8 to 12 hour polysomnography, with video recording",5,40756854,95801,"Sleep study, unattended, simultaneous recording; minimum of heart rate, oxygen saturation, and respiratory analysis (eg, by airflow or peripheral arterial tone)",CPT4,0.7574
AMQP012,"8 to 12 hour polysomnography, without video recording",1,4189015,60554003,Polysomnography,SNOMED,0.7953
AMQP012,"8 to 12 hour polysomnography, without video recording",2,40757072,95800,"Sleep study, unattended, simultaneous recording; heart rate, oxygen saturation, respiratory analysis (eg, by airflow or peripheral arterial tone), and sleep time",CPT4,0.7949
AMQP012,"8 to 12 hour polysomnography, without video recording",3,40756854,95801,"Sleep study, unattended, simultaneous recording; minimum of heart rate, oxygen saturation, and respiratory analysis (eg, by airflow or peripheral arterial tone)",CPT4,0.7923
AMQP012,"8 to 12 hour polysomnography, without video recording",4,2314096,95806,"Sleep study, unattended, simultaneous recording of, heart rate, oxygen saturation, respiratory airflow, and respiratory effort (eg, thoracoabdominal movement)",CPT4,0.7910
AMQP012,"8 to 12 hour polysomnography, without video recording",5,2314098,95808,"Polysomnography; any age, sleep staging with 1-3 additional parameters of sleep, attended by a technologist",CPT4,0.7689
AAQP007,8-lead electroencephalography or more with recording of a minimum duration of 20 minutes without digitization and without video recording,1,710019,95700,"Electroencephalogram (EEG) continuous recording, with video when performed, setup, patient education, and takedown when performed, administered in person by EEG technologist, minimum of 8 channels",CPT4,0.8495
AAQP007,8-lead electroencephalography or more with recording of a minimum duration of 20 minutes without digitization and without video recording,2,2314104,95819,Electroencephalogram (EEG); including recording awake and asleep,CPT4,0.8175
AAQP007,8-lead electroencephalography or more with recording of a minimum duration of 20 minutes without digitization and without video recording,3,710024,95709,"Electroencephalogram (EEG), without video, review of data, technical description by EEG technologist, each increment of 12-26 hours; with intermittent monitoring and maintenance",CPT4,0.8136
AAQP007,8-lead electroencephalography or more with recording of a minimum duration of 20 minutes without digitization and without video recording,4,710041,95726,"Electroencephalogram (EEG), continuous recording, physician or other qualified health care professional review of recorded events, analysis of spike and seizure detection, interpretation, and summary report, complete study; greater than 84 hours of EEG...",CPT4,0.8126
AAQP007,8-lead electroencephalography or more with recording of a minimum duration of 20 minutes without digitization and without video recording,5,710040,95725,"Electroencephalogram (EEG), continuous recording, physician or other qualified health care professional review of recorded events, analysis of spike and seizure detection, interpretation, and summary report, complete study; greater than 84 hours of EEG...",CPT4,0.8126
AAQP129,"8-lead or more electroencephalography with recording lasting at least 30 minutes, with digitization and video recording, in a patient under 6 years of age",1,710019,95700,"Electroencephalogram (EEG) continuous recording, with video when performed, setup, patient education, and takedown when performed, administered in person by EEG technologist, minimum of 8 channels",CPT4,0.8652
AAQP129,"8-lead or more electroencephalography with recording lasting at least 30 minutes, with digitization and video recording, in a patient under 6 years of age",2,710037,95722,"Electroencephalogram (EEG), continuous recording, physician or other qualified health care professional review of recorded events, analysis of spike and seizure detection, interpretation, and summary report, complete study; greater than 36 hours, up to...",CPT4,0.8461
AAQP129,"8-lead or more electroencephalography with recording lasting at least 30 minutes, with digitization and video recording, in a patient under 6 years of age",3,710036,95721,"Electroencephalogram (EEG), continuous recording, physician or other qualified health care professional review of recorded events, analysis of spike and seizure detection, interpretation, and summary report, complete study; greater than 36 hours, up to...",CPT4,0.8461
AAQP129,"8-lead or more electroencephalography with recording lasting at least 30 minutes, with digitization and video recording, in a patient under 6 years of age",4,710035,95720,"Electroencephalogram (EEG), continuous recording, physician or other qualified health care professional review of recorded events, analysis of spike and seizure detection, each increment of greater than 12 hours, up to 26 hours of EEG recording, interp...",CPT4,0.8455
AAQP129,"8-lead or more electroencephalography with recording lasting at least 30 minutes, with digitization and video recording, in a patient under 6 years of age",5,710034,95719,"Electroencephalogram (EEG), continuous recording, physician or other qualified health care professional review of recorded events, analysis of spike and seizure detection, each increment of greater than 12 hours, up to 26 hours of EEG recording, interp...",CPT4,0.8455
04.03.11.04,Abdominal aorta and common iliac artery bypass surgery,1,40487075,447908005,Bypass of common iliac artery by anastomosis of aorta to common iliac artery,SNOMED,0.8938
04.03.11.04,Abdominal aorta and common iliac artery bypass surgery,2,2001516,36.17,Abdominal-coronary artery bypass,ICD9Proc,0.8317
04.03.11.04,Abdominal aorta and common iliac artery bypass surgery,3,40487552,448009002,Bypass of iliac artery by anastomosis of aorta to external iliac artery,SNOMED,0.8151
04.03.11.04,Abdominal aorta and common iliac artery bypass surgery,4,4140111,265495003,Bypass of bifurcation of aorta by anastomosis of aorta to iliac artery,SNOMED,0.7977
04.03.11.04,Abdominal aorta and common iliac artery bypass surgery,5,40488401,448122008,Bypass of segment of abdominal aorta by anastomosis of aorta to aorta,SNOMED,0.7974
04.03.11.09,Abdominal aortic fistula closure,1,4230526,359905005,Repair of abdominal fistula,SNOMED,0.8294
04.03.11.09,Abdominal aortic fistula closure,2,4078551,19080004,Repair of abdominothoracic fistula,SNOMED,0.7656
04.03.11.09,Abdominal aortic fistula closure,3,4263786,36268006,Repair of abdominouterine fistula,SNOMED,0.7475
04.03.11.09,Abdominal aortic fistula closure,4,4243981,60283001,Closure of aortoduodenal fistula,SNOMED,0.7400
04.03.11.09,Abdominal aortic fistula closure,5,4246887,61192001,Closure of aorticopulmonary fistula or fenestration,SNOMED,0.7061
04.03.11.07,Abdominal aortic prosthesis removal,1,4019320,175334000,Removal of prosthesis from aorta,SNOMED,0.9066
04.03.11.07,Abdominal aortic prosthesis removal,2,4225086,405350002,Removal of abdominal vascular prosthesis,SNOMED,0.8645
04.03.11.07,Abdominal aortic prosthesis removal,3,42872822,450815006,Revision of prosthesis of abdominal aorta,SNOMED,0.7978
04.03.11.07,Abdominal aortic prosthesis removal,4,3178736,25960001000004101,Removal of abdominal aortic graft,Nebraska Lexicon,0.7968
04.03.11.07,Abdominal aortic prosthesis removal,5,40481453,443398006,Surgical removal of prosthetic implant from abdominal wall,SNOMED,0.7708
DGGA002,"Abdominal aortic prosthesis removal with axillobifemoral bypass, by direct approach",1,3178736,25960001000004101,Removal of abdominal aortic graft,Nebraska Lexicon,0.7598
DGGA002,"Abdominal aortic prosthesis removal with axillobifemoral bypass, by direct approach",2,4225086,405350002,Removal of abdominal vascular prosthesis,SNOMED,0.7545
DGGA002,"Abdominal aortic prosthesis removal with axillobifemoral bypass, by direct approach",3,4263586,46013000,Excision of lesion of abdominal aorta with interposition graft replacement,SNOMED,0.7543
DGGA002,"Abdominal aortic prosthesis removal with axillobifemoral bypass, by direct approach",4,4196199,79553004,Resection of abdominal aorta with replacement,SNOMED,0.7540
DGGA002,"Abdominal aortic prosthesis removal with axillobifemoral bypass, by direct approach",5,2107597,34832,"Open repair of infrarenal aortic aneurysm or dissection, plus repair of associated arterial trauma, following unsuccessful endovascular repair; aorto-bifemoral prosthesis",CPT4,0.7529
DGGA003,"Abdominal aortic prosthesis with aortobisilic or aortobifemoral bypass, by laparotomy",1,2107597,34832,"Open repair of infrarenal aortic aneurysm or dissection, plus repair of associated arterial trauma, following unsuccessful endovascular repair; aorto-bifemoral prosthesis",CPT4,0.7900
DGGA003,"Abdominal aortic prosthesis with aortobisilic or aortobifemoral bypass, by laparotomy",2,2107596,34831,"Open repair of infrarenal aortic aneurysm or dissection, plus repair of associated arterial trauma, following unsuccessful endovascular repair; aorto-bi-iliac prosthesis",CPT4,0.7860
DGGA003,"Abdominal aortic prosthesis with aortobisilic or aortobifemoral bypass, by laparotomy",3,42872822,450815006,Revision of prosthesis of abdominal aorta,SNOMED,0.7699
DGGA003,"Abdominal aortic prosthesis with aortobisilic or aortobifemoral bypass, by laparotomy",4,2107595,34830,"Open repair of infrarenal aortic aneurysm or dissection, plus repair of associated arterial trauma, following unsuccessful endovascular repair; tube prosthesis",CPT4,0.7629
DGGA003,"Abdominal aortic prosthesis with aortobisilic or aortobifemoral bypass, by laparotomy",5,927191,33866,"Aortic hemiarch graft including isolation and control of the arch vessels, beveled open distal aortic anastomosis extending under one or more of the arch vessels, and total circulatory arrest or isolated cerebral perfusion (List separately in addition...",CPT4,0.7426
04.01.03.05,Abdominal aortic ultrasound,1,2788608,B440ZZZ,Ultrasonography of Abdominal Aorta,ICD10PCS,0.9475
04.01.03.05,Abdominal aortic ultrasound,2,4085443,241462009,US scan of abdominal aorta,SNOMED,0.9337
04.01.03.05,Abdominal aortic ultrasound,3,40771797,69276-4,US Abdominal Aorta,LOINC,0.9176
04.01.03.05,Abdominal aortic ultrasound,4,2846721,B440ZZ,Imaging @ Lower Arteries @ Ultrasonography @ Abdominal Aorta @ None @ None,ICD10PCS,0.8780
04.01.03.05,Abdominal aortic ultrasound,5,2839333,B440Z,Imaging @ Lower Arteries @ Ultrasonography @ Abdominal Aorta @ None,ICD10PCS,0.8628
QBFA005,Abdominal dermolipectomy with transposition of the umbilicus,1,2102476,15830,"Excision, excessive skin and subcutaneous tissue (includes lipectomy); abdomen, infraumbilical panniculectomy",CPT4,0.7603
QBFA005,Abdominal dermolipectomy with transposition of the umbilicus,2,4172618,50070009,Excision of umbilicus,SNOMED,0.7434
QBFA005,Abdominal dermolipectomy with transposition of the umbilicus,3,4218052,39641000,Reconstruction of umbilicus,SNOMED,0.7330
QBFA005,Abdominal dermolipectomy with transposition of the umbilicus,4,42872835,450830002,Excision of orbital fat herniation,SNOMED,0.7140
QBFA005,Abdominal dermolipectomy with transposition of the umbilicus,5,506821,1055161000000102,Primary transverse ellipse abdominoplasty with excision of umbilicus,SNOMED,0.7101
QBFA001,Abdominal dermolipectomy with transposition of the umbilicus and closure of diastasis of the rectus abdominis muscles,1,2102476,15830,"Excision, excessive skin and subcutaneous tissue (includes lipectomy); abdomen, infraumbilical panniculectomy",CPT4,0.7702
QBFA001,Abdominal dermolipectomy with transposition of the umbilicus and closure of diastasis of the rectus abdominis muscles,2,506955,1056591000000105,Primary transverse and vertical ellipse abdominoplasty with excision of umbilicus,SNOMED,0.7277
QBFA001,Abdominal dermolipectomy with transposition of the umbilicus and closure of diastasis of the rectus abdominis muscles,3,506821,1055161000000102,Primary transverse ellipse abdominoplasty with excision of umbilicus,SNOMED,0.7269
QBFA001,Abdominal dermolipectomy with transposition of the umbilicus and closure of diastasis of the rectus abdominis muscles,4,506989,1056951000000109,"Primary transverse and vertical ellipse abdominoplasty with excision of umbilicus, component separation and excision of more than 5000g of tissue",SNOMED,0.7152
QBFA001,Abdominal dermolipectomy with transposition of the umbilicus and closure of diastasis of the rectus abdominis muscles,5,506855,1055521000000104,"Primary transverse ellipse abdominoplasty with excision of umbilicus, component separation and excision of more than 5000g of tissue",SNOMED,0.7108
QBFA008,Abdominal dermolipectomy with transposition of the umbilicus and liposuction of the abdomen,1,2102476,15830,"Excision, excessive skin and subcutaneous tissue (includes lipectomy); abdomen, infraumbilical panniculectomy",CPT4,0.7911
QBFA008,Abdominal dermolipectomy with transposition of the umbilicus and liposuction of the abdomen,2,4230423,438811009,Excision of lipoma of subcutaneous tissue,SNOMED,0.7211
QBFA008,Abdominal dermolipectomy with transposition of the umbilicus and liposuction of the abdomen,3,506955,1056591000000105,Primary transverse and vertical ellipse abdominoplasty with excision of umbilicus,SNOMED,0.7066
QBFA008,Abdominal dermolipectomy with transposition of the umbilicus and liposuction of the abdomen,4,506821,1055161000000102,Primary transverse ellipse abdominoplasty with excision of umbilicus,SNOMED,0.7040
QBFA008,Abdominal dermolipectomy with transposition of the umbilicus and liposuction of the abdomen,5,4238658,58420000,Excision of excessive skin and subcutaneous tissue of abdomen,SNOMED,0.7020
QBFA012,"Abdominal dermolipectomy with transposition of the umbilicus, liposuction of the abdomen and closure of diastasis of the rectus abdominis muscles",1,2102476,15830,"Excision, excessive skin and subcutaneous tissue (includes lipectomy); abdomen, infraumbilical panniculectomy",CPT4,0.7976
QBFA012,"Abdominal dermolipectomy with transposition of the umbilicus, liposuction of the abdomen and closure of diastasis of the rectus abdominis muscles",2,506989,1056951000000109,"Primary transverse and vertical ellipse abdominoplasty with excision of umbilicus, component separation and excision of more than 5000g of tissue",SNOMED,0.7260
QBFA012,"Abdominal dermolipectomy with transposition of the umbilicus, liposuction of the abdomen and closure of diastasis of the rectus abdominis muscles",3,507012,1057201000000104,"Primary transverse and vertical ellipse abdominoplasty with excision of umbilicus, musculofascial plication and excision of more than 5000g of tissue",SNOMED,0.7244
QBFA012,"Abdominal dermolipectomy with transposition of the umbilicus, liposuction of the abdomen and closure of diastasis of the rectus abdominis muscles",4,506955,1056591000000105,Primary transverse and vertical ellipse abdominoplasty with excision of umbilicus,SNOMED,0.7225
QBFA012,"Abdominal dermolipectomy with transposition of the umbilicus, liposuction of the abdomen and closure of diastasis of the rectus abdominis muscles",5,507710,1056621000000108,Primary transverse and vertical ellipse abdominoplasty with excision of umbilicus and excision of more than 5000g of tissue,SNOMED,0.7177
QBFA006,"Abdominal dermolipectomy without transposition of the umbilicus, with closure of diastasis of the right muscles of the abdomen",1,2102476,15830,"Excision, excessive skin and subcutaneous tissue (includes lipectomy); abdomen, infraumbilical panniculectomy",CPT4,0.7778
QBFA006,"Abdominal dermolipectomy without transposition of the umbilicus, with closure of diastasis of the right muscles of the abdomen",2,4238658,58420000,Excision of excessive skin and subcutaneous tissue of abdomen,SNOMED,0.7131
QBFA006,"Abdominal dermolipectomy without transposition of the umbilicus, with closure of diastasis of the right muscles of the abdomen",3,2111098,67805,"Excision of chalazion; multiple, different lids",CPT4,0.7059
QBFA006,"Abdominal dermolipectomy without transposition of the umbilicus, with closure of diastasis of the right muscles of the abdomen",4,506989,1056951000000109,"Primary transverse and vertical ellipse abdominoplasty with excision of umbilicus, component separation and excision of more than 5000g of tissue",SNOMED,0.6997
QBFA006,"Abdominal dermolipectomy without transposition of the umbilicus, with closure of diastasis of the right muscles of the abdomen",5,506855,1055521000000104,"Primary transverse ellipse abdominoplasty with excision of umbilicus, component separation and excision of more than 5000g of tissue",SNOMED,0.6990
QBFA013,"Abdominal dermolipectomy without transposition of the umbilicus, with liposuction of the abdomen",1,2102476,15830,"Excision, excessive skin and subcutaneous tissue (includes lipectomy); abdomen, infraumbilical panniculectomy",CPT4,0.8072
QBFA013,"Abdominal dermolipectomy without transposition of the umbilicus, with liposuction of the abdomen",2,4230423,438811009,Excision of lipoma of subcutaneous tissue,SNOMED,0.7322
QBFA013,"Abdominal dermolipectomy without transposition of the umbilicus, with liposuction of the abdomen",3,4238658,58420000,Excision of excessive skin and subcutaneous tissue of abdomen,SNOMED,0.7170
QBFA013,"Abdominal dermolipectomy without transposition of the umbilicus, with liposuction of the abdomen",4,4167080,274068006,Excision of lipoma,SNOMED,0.7133
QBFA013,"Abdominal dermolipectomy without transposition of the umbilicus, with liposuction of the abdomen",5,2003510,54.3,Excision or destruction of lesion or tissue of abdominal wall or umbilicus,ICD9Proc,0.7128
QBFA010,"Abdominal dermolipectomy without transposition of the umbilicus, with liposuction of the abdomen and closure of diastasis of the right muscles of the abdomen",1,2102476,15830,"Excision, excessive skin and subcutaneous tissue (includes lipectomy); abdomen, infraumbilical panniculectomy",CPT4,0.7933
QBFA010,"Abdominal dermolipectomy without transposition of the umbilicus, with liposuction of the abdomen and closure of diastasis of the right muscles of the abdomen",2,4238658,58420000,Excision of excessive skin and subcutaneous tissue of abdomen,SNOMED,0.7155
QBFA010,"Abdominal dermolipectomy without transposition of the umbilicus, with liposuction of the abdomen and closure of diastasis of the right muscles of the abdomen",3,507012,1057201000000104,"Primary transverse and vertical ellipse abdominoplasty with excision of umbilicus, musculofascial plication and excision of more than 5000g of tissue",SNOMED,0.7049
QBFA010,"Abdominal dermolipectomy without transposition of the umbilicus, with liposuction of the abdomen and closure of diastasis of the right muscles of the abdomen",4,506989,1056951000000109,"Primary transverse and vertical ellipse abdominoplasty with excision of umbilicus, component separation and excision of more than 5000g of tissue",SNOMED,0.7046
QBFA010,"Abdominal dermolipectomy without transposition of the umbilicus, with liposuction of the abdomen and closure of diastasis of the right muscles of the abdomen",5,506879,1055771000000108,"Primary transverse ellipse abdominoplasty with excision of umbilicus, musculofascial plication and excision of more than 5000g of tissue",SNOMED,0.7007
QBFA011,Abdominal dermolipectomy without umbilicus transposition,1,2102476,15830,"Excision, excessive skin and subcutaneous tissue (includes lipectomy); abdomen, infraumbilical panniculectomy",CPT4,0.7827
QBFA011,Abdominal dermolipectomy without umbilicus transposition,2,4230423,438811009,Excision of lipoma of subcutaneous tissue,SNOMED,0.7275
QBFA011,Abdominal dermolipectomy without umbilicus transposition,3,2003510,54.3,Excision or destruction of lesion or tissue of abdominal wall or umbilicus,ICD9Proc,0.7218
QBFA011,Abdominal dermolipectomy without umbilicus transposition,4,3185358,23480001000004105,Resection of adrenal myelolipoma,Nebraska Lexicon,0.7150
QBFA011,Abdominal dermolipectomy without umbilicus transposition,5,4167080,274068006,Excision of lipoma,SNOMED,0.7098
JQGA001,"Abdominal ectopic pregnancy extraction beyond 13 weeks of amenorrhea, by laparotomy",1,4308664,387709005,Removal of ectopic fetus from abdominal cavity,SNOMED,0.7730
JQGA001,"Abdominal ectopic pregnancy extraction beyond 13 weeks of amenorrhea, by laparotomy",2,42872572,450563004,Laparoscopic excision of ectopic ovarian pregnancy,SNOMED,0.7505
JQGA001,"Abdominal ectopic pregnancy extraction beyond 13 weeks of amenorrhea, by laparotomy",3,4217304,81130000,Removal of intraligamentous ectopic pregnancy,SNOMED,0.7361
JQGA001,"Abdominal ectopic pregnancy extraction beyond 13 weeks of amenorrhea, by laparotomy",4,2110299,59150,Laparoscopic treatment of ectopic pregnancy; without salpingectomy and/or oophorectomy,CPT4,0.7323
JQGA001,"Abdominal ectopic pregnancy extraction beyond 13 weeks of amenorrhea, by laparotomy",5,2110300,59151,Laparoscopic treatment of ectopic pregnancy; with salpingectomy and/or oophorectomy,CPT4,0.7311
12.04.03.06,Abdominal wall prosthesis removal,1,40481453,443398006,Surgical removal of prosthetic implant from abdominal wall,SNOMED,0.9177
12.04.03.06,Abdominal wall prosthesis removal,2,4288463,68526006,Removal of device from abdomen,SNOMED,0.8077
