"Code CCAM de l’acte, Code de la consultation et éventuellement de la majoration","ccam","label","chapterCode","chapterLabel","parentCode","parentLabel","topographie","topographieLabel","action","actionLabel","modeAcces","modeAccesLabel","code","Famille d’acte","familleLabel"
"AHPA0210","AHPA021","libération du nerf ulnaire au poignet et/ou à la main, par abord direct","01","système nerveux central, périphérique et autonome","01.05.04.04","libération de nerf du membre supérieur","AH","nerfs spinaux (y compris la partie intrarachidienne)","P","couper/libérer/séparer","A","abord ouvert","021","82","décompression chirurgicale de nerf du membre supérieur"
"AHPA0220","AHPA022","libération du nerf ulnaire au coude, par abord direct","01","système nerveux central, périphérique et autonome","01.05.04.04","libération de nerf du membre supérieur","AH","nerfs spinaux (y compris la partie intrarachidienne)","P","couper/libérer/séparer","A","abord ouvert","022","82","décompression chirurgicale de nerf du membre supérieur"
"AHPA0280","AHPA028","libération de nerf digital par abord direct, sur un rayon de la main","01","système nerveux central, périphérique et autonome","01.05.04.04","libération de nerf du membre supérieur","AH","nerfs spinaux (y compris la partie intrarachidienne)","P","couper/libérer/séparer","A","abord ouvert","028","82","décompression chirurgicale de nerf du membre supérieur"
"AHPC0010","AHPC001","libération du nerf médian au canal carpien, par vidéochirurgie","01","système nerveux central, périphérique et autonome","01.05.04.04","libération de nerf du membre supérieur","AH","nerfs spinaux (y compris la partie intrarachidienne)","P","couper/libérer/séparer","C","accès endoscopique transpariétal","001","82","décompression chirurgicale de nerf du membre supérieur"
"AHQB0020","AHQB002","électromyographie analytique du périnée avec étude de la latence du réflexe bulbocaverneux et des potentiels évoqués somesthésiques cérébraux par stimulation du nerf pudendal [nerf honteux]","08","appareil urinaire et génital","08.01.01","explorations électrophysiologiques de l'appareil urinaire et génital","AH","nerfs spinaux (y compris la partie intrarachidienne)","Q","guider/enregistrer/examiner/mesurer","B","accès transpariétal","002","107","électromyogramme (EMG) du périnée"
"AHQB0030","AHQB003","électromyographie analytique du périnée avec étude de la latence motrice du nerf pudendal [nerf honteux], par électrode aiguille","08","appareil urinaire et génital","08.01.01","explorations électrophysiologiques de l'appareil urinaire et génital","AH","nerfs spinaux (y compris la partie intrarachidienne)","Q","guider/enregistrer/examiner/mesurer","B","accès transpariétal","003","107","électromyogramme (EMG) du périnée"
"AHQB0080","AHQB008","électromyographie analytique du périnée par électrode aiguille","08","appareil urinaire et génital","08.01.01","explorations électrophysiologiques de l'appareil urinaire et génital","AH","nerfs spinaux (y compris la partie intrarachidienne)","Q","guider/enregistrer/examiner/mesurer","B","accès transpariétal","008","107","électromyogramme (EMG) du périnée"
"AHQB0130","AHQB013","électromyographie de 7 muscles striés ou plus au repos et à l'effort, par électrode aiguille","01","système nerveux central, périphérique et autonome","01.01.01.01","électromyographie [EMG]","AH","nerfs spinaux (y compris la partie intrarachidienne)","Q","guider/enregistrer/examiner/mesurer","B","accès transpariétal","013","106","électromyogramme (EMG)"
"AHQB0190","AHQB019","mesure des latences des réflexes sacraux","01","système nerveux central, périphérique et autonome","01.01.01.03","étude des latences et des réflexes","AH","nerfs spinaux (y compris la partie intrarachidienne)","Q","guider/enregistrer/examiner/mesurer","B","accès transpariétal","019","106","électromyogramme (EMG)"
"AHQB0240","AHQB024","électromyographie de 3 à 6 muscles striés au repos et à l'effort sans stimulodétection, par électrode aiguille","01","système nerveux central, périphérique et autonome","01.01.01.01","électromyographie [EMG]","AH","nerfs spinaux (y compris la partie intrarachidienne)","Q","guider/enregistrer/examiner/mesurer","B","accès transpariétal","024","106","électromyogramme (EMG)"
"AHQB0250","AHQB025","électromyographie de 1 ou 2 muscles striés au repos et à l'effort avec stimulodétection, par électrode aiguille","01","système nerveux central, périphérique et autonome","01.01.01.01","électromyographie [EMG]","AH","nerfs spinaux (y compris la partie intrarachidienne)","Q","guider/enregistrer/examiner/mesurer","B","accès transpariétal","025","106","électromyogramme (EMG)"
"AHQB0260","AHQB026","électromyographie de 3 à 6 muscles striés au repos et à l'effort avec stimulodétection, par électrode aiguille","01","système nerveux central, périphérique et autonome","01.01.01.01","électromyographie [EMG]","AH","nerfs spinaux (y compris la partie intrarachidienne)","Q","guider/enregistrer/examiner/mesurer","B","accès transpariétal","026","106","électromyogramme (EMG)"
"AHQB0270","AHQB027","électromyographie de 1 ou 2 muscles striés au repos et à l'effort sans stimulodétection, par électrode aiguille","01","système nerveux central, périphérique et autonome","01.01.01.01","électromyographie [EMG]","AH","nerfs spinaux (y compris la partie intrarachidienne)","Q","guider/enregistrer/examiner/mesurer","B","accès transpariétal","027","106","électromyogramme (EMG)"
"AHQB0320","AHQB032","électromyographie de 3 à 6 muscles striés au repos et à l'effort par électrode aiguille, avec mesure des vitesses de conduction motrice et de l'amplitude des réponses musculaires de 2 à 4 nerfs sans étude de la conduction proximale par électrode de surface, et mesure des vitesses de la conduction sensitive et de l'amplitude du potentiel sensitif de 2 à 4 nerfs","01","système nerveux central, périphérique et autonome","01.01.01.01","électromyographie [EMG]","AH","nerfs spinaux (y compris la partie intrarachidienne)","Q","guider/enregistrer/examiner/mesurer","B","accès transpariétal","032","106","électromyogramme (EMG)"
"AHQB0330","AHQB033","électromyographie de 7 muscles striés ou plus au repos et à l'effort par électrode aiguille, avec mesure des vitesses de conduction motrice et de l'amplitude des réponses musculaires de 5 nerfs ou plus avec étude de la conduction proximale par électrodede surface, et mesure des vitesses de la conduction sensitive et de l'amplitude du potentiel sensitif de 5 nerfs ou plus","01","système nerveux central, périphérique et autonome","01.01.01.01","électromyographie [EMG]","AH","nerfs spinaux (y compris la partie intrarachidienne)","Q","guider/enregistrer/examiner/mesurer","B","accès transpariétal","033","106","électromyogramme (EMG)"
"AHQD0010","AHQD001","électromyographie analytique du périnée, avec étude des latences des réflexes sacraux et des latences distales du nerf pudendal [nerf honteux] par stimulation intrarectale","08","appareil urinaire et génital","08.01.01","explorations électrophysiologiques de l'appareil urinaire et génital","AH","nerfs spinaux (y compris la partie intrarachidienne)","Q","guider/enregistrer/examiner/mesurer","D","accès transorificiel","001","107","électromyogramme (EMG) du périnée"
"AHQP0030","AHQP003","mesure des vitesses de conduction motrice et de l'amplitude des réponses musculaires de 2 à 4 nerfs, sans étude de la conduction proximale","01","système nerveux central, périphérique et autonome","01.01.01.02","mesure des vitesses de conduction","AH","nerfs spinaux (y compris la partie intrarachidienne)","Q","guider/enregistrer/examiner/mesurer","P","acte par autre moyen, sans accès, ou non précisé","003","106","électromyogramme (EMG)"
"AHQP0040","AHQP004","enregistrement des potentiels moteurs par stimulation corticale et/ou spinale","01","système nerveux central, périphérique et autonome","01.01.09.04","autres potentiels évoqués","AH","nerfs spinaux (y compris la partie intrarachidienne)","Q","guider/enregistrer/examiner/mesurer","P","acte par autre moyen, sans accès, ou non précisé","004","127","exploration sensorielle et motrice"
"AHQP0080","AHQP008","mesure des vitesses de conduction motrice et de l'amplitude des réponses musculaires de 2 à 4 nerfs, avec étude de la conduction proximale sur au moins 2 nerfs","01","système nerveux central, périphérique et autonome","01.01.01.02","mesure des vitesses de conduction","AH","nerfs spinaux (y compris la partie intrarachidienne)","Q","guider/enregistrer/examiner/mesurer","P","acte par autre moyen, sans accès, ou non précisé","008","106","électromyogramme (EMG)"
"AHQP0090","AHQP009","mesure des vitesses de conduction motrice et de l'amplitude des réponses musculaires de 5 nerfs ou plus, avec étude de la conduction proximale sur au moins 4 nerfs","01","système nerveux central, périphérique et autonome","01.01.01.02","mesure des vitesses de conduction","AH","nerfs spinaux (y compris la partie intrarachidienne)","Q","guider/enregistrer/examiner/mesurer","P","acte par autre moyen, sans accès, ou non précisé","009","106","électromyogramme (EMG)"
"AHQP0100","AHQP010","mesure des vitesses de conduction motrice et de l'amplitude des réponses musculaires de 5 nerfs ou plus, sans étude de la conduction proximale","01","système nerveux central, périphérique et autonome","01.01.01.02","mesure des vitesses de conduction","AH","nerfs spinaux (y compris la partie intrarachidienne)","Q","guider/enregistrer/examiner/mesurer","P","acte par autre moyen, sans accès, ou non précisé","010","106","électromyogramme (EMG)"
