code,label
ABQL002,Cisternographie radio-isotopique
ABQL003,Recherche radio-isotopique d'une brèche ostéoméningée
ABQP001,"Surveillance continue de la pression intracrânienne, par 24 heures"
ABSA001,"Fermeture d'une brèche ostéodurale de l'étage moyen de la base du crâne, par craniotomie"
ABSA002,"Fermeture d'une brèche ostéodurale de l'étage moyen de la base du crâne, par abord translabyrinthique"
ABSA003,"Fermeture d'une brèche ostéodurale du sinus frontal, par abord coronal"
ABSA004,"Fermeture d'une brèche ostéodurale de l'étage moyen de la base du crâne, par abord mastoïdoattical"
ABSA005,"Fermeture d'une brèche ostéodurale ou d'une méningocèle de l'étage antérieur de la base du crâne, par abord orbitaire"
ABSA006,"Fermeture d'une brèche ostéodurale de l'étage moyen de la base du crâne, par abord suprapétreux"
ABSA007,"Fermeture d'une brèche ostéodurale ou d'une méningocèle de l'étage antérieur de la base du crâne, par craniotomie"
ABSA008,Fermeture d'une fistule postopératoire de liquide cérébrospinal de la base du crâne
ABSA009,"Fermeture d'une fistule de liquide cérébrospinal ou d'une méningocèle postopératoire de la voûte crânienne, par craniotomie"
ABSA010,"Fermeture d'une brèche ostéodurale ou d'une méningocèle de l'étage antérieur de la base du crâne, par abord paralatéronasal"
ABSA011,"Fermeture d'une brèche ostéodurale ou d'une méningocèle de l'étage antérieur de la base du crâne, par abord nasosphénoïdal"
ABSE001,"Fermeture d'une brèche ostéodurale ou d'une méningocèle de l'étage antérieur de la base du crâne, par endoscopie"
ACFA001,"Exérèse de tumeur de l'étage antérieur de la base du crâne, par craniotomie frontale unilatérale"
ACFA002,"Exérèse de tumeur extraparenchymateuse de la convexité du cerveau sans atteinte de sinus veineux dural, par craniotomie"
ACFA003,"Exérèse de tumeur de la pointe du rocher, par abord translabyrinthique"
ACFA004,"Exérèse de tumeur du clivus, par craniotomie"
ACFA005,"Exérèse de tumeur de l'angle pontocérébelleux et/ou du méat acoustique interne [conduit auditif interne], par abord rétrolabyrinthique présigmoïdien"
ACFA006,"Exérèse de tumeur de la pointe du rocher sans déroutement du nerf facial, par abord transpétreux"
ACFA007,"Exérèse de tumeur de l'angle pontocérébelleux et/ou du méat acoustique interne [conduit auditif interne], par abord translabyrinthique"
ACFA008,"Exérèse de tumeur extraparenchymateuse de la convexité du cervelet sans atteinte de sinus veineux dural, par craniotomie"
ACFA009,"Exérèse de tumeur de la pointe du rocher, par abord suprapétreux"
ACFA010,"Exérèse de tumeur de l'angle pontocérébelleux et/ou du méat acoustique interne [conduit auditif interne], par abord infraoccipital rétrosigmoïdien"
ACFA011,"Exérèse de tumeur de l'étage moyen de la base du crâne, par craniotomie"
ACFA012,"Exérèse de tumeur de l'angle pontocérébelleux et/ou du méat acoustique interne [conduit auditif interne], par abord suprapétreux"
ACFA013,"Exérèse de tumeur du tiers interne de l'étage moyen de la base du crâne intéressant l'angle sphénoorbitaire, par craniotomie"
ACFA014,"Exérèse de tumeur de l'angle pontocérébelleux et/ou du méat acoustique interne [conduit auditif interne], par deux abords"
ACFA015,"Exérèse de tumeur de l'étage antérieur de la base du crâne, par craniotomie frontale bilatérale"
ACFA016,"Exérèse de tumeur de la région pétroclivale sans déroutement du nerf facial, par abord transpétreux"
ACFA017,"Exérèse de tumeur de l'incisure de la tente, par craniotomie"
ACFA018,"Exérèse de tumeur extraparenchymateuse de la convexité du cervelet envahissant un sinus veineux dural, par craniotomie"
ACFA019,"Exérèse de tumeur du foramen magnum avec déroutement de l'artère vertébrale, par craniotomie"
ACFA020,"Exérèse de tumeur du clivus, par abord transoral ou nasosphénoïdal"
ACFA021,"Exérèse de tumeur de la faux du cerveau, par craniotomie"
ACFA022,"Exérèse de tumeur de la région optochiasmatique et/ou hypothalamique, par craniotomie"
ACFA023,"Exérèse de tumeur du foramen jugulaire, par craniotomie"
ACFA024,"Exérèse de tumeur du foramen magnum sans déroutement de l'artère vertébrale, par craniotomie"
ACFA025,"Exérèse de tumeur de la région pétroclivale avec déroutement du nerf facial, par abord transpétreux"
ACFA026,"Exérèse de tumeur de l'étage antérieur de la base du crâne, par craniotomie frontale bilatérale et abord ethmoïdal"
ACFA027,"Exérèse de tumeur de l'angle pontocérébelleux et/ou du méat acoustique interne [conduit auditif interne], par abord transotique"
ACFA028,"Exérèse de tumeur extraparenchymateuse de la convexité du cerveau envahissant un sinus veineux dural, par craniotomie"
ACFA029,"Exérèse de tumeur de la pointe du rocher avec déroutement du nerf facial, par abord transpétreux"
ACHA001,"Biopsie de lésion de la base du crâne, par abord transoral ou nasosphénoïdal"
ACHA002,"Biopsie de lésion intracrânienne, par craniotomie"
ACHB001,"Biopsie de lésion intracrânienne, par voie transcrânienne stéréotaxique"
ACHE001,"Biopsie de lésion de la base du crâne, par endoscopie transorale ou nasosphénoïdale"
ACPA001,"Libération d'un conflit vasculonerveux intracrânien, par craniotomie"
ACQC001,"Exploration intracrânienne, par vidéochirurgie"
ACQH001,"Scanographie du crâne et de son contenu, avec injection intrathécale de produit de contraste [Cysternoscanner]"
ACQH002,"Scanographie du crâne, de son contenu et du thorax, avec injection intraveineuse de produit de contraste"
ACQH003,"Scanographie du crâne et de son contenu, avec injection intraveineuse de produit de contraste"
ACQH004,"Scanographie du crâne, de son contenu et du tronc, avec injection intraveineuse de produit de contraste"
ACQJ001,"Remnographie [IRM] du crâne et de son contenu avec étude de la viabilité du parenchyme cérébral par imagerie de diffusion et de perfusion, avec remnographie des vaisseaux [angio-IRM] cervicocéphaliques"
ACQJ002,"Remnographie [IRM] du crâne et de son contenu, avec injection intraveineuse de produit de contraste"
ACQK001,"Scanographie du crâne et de son contenu, sans injection de produit de contraste"
ACQK002,Scanographie du crâne et de son contenu et/ou du massif facial pour planification dosimétrique
ACQK003,Scanographie du crâne et de son contenu et/ou du massif facial pour repérage stéréotaxique
ACQL001,Tomoscintigraphie cérébrale à l'aide de marqueur de la neurotransmission et/ou du métabolisme
ACQL002,Tomoscintigraphie cérébrale par émission de positons
ACQL003,Tomoscintigraphie cérébrale pour diagnostic et bilan de tumeur cérébrale
ACQL004,Tomoscintigraphie de perfusion cérébrale en période critique
ACQL005,Tomoscintigraphie de perfusion cérébrale avec test d'activation et quantification complexe
ACQL006,Tomoscintigraphie cérébrale à l'aide d'un émetteur de positons sans tépographe [caméra TEP] dédié
ACQL007,Tomoscintigraphie de perfusion cérébrale sans test d'activation
ACQL008,Tomoscintigraphie de perfusion cérébrale après épreuve pharmacodynamique
ACQN001,"Remnographie [IRM] du crâne et de son contenu, sans injection intraveineuse de produit de contraste"
ACQN002,Remnographie [IRM] du crâne et de son contenu et/ou du massif facial pour planification dosimétrique
ACQN003,Remnographie [IRM] du crâne et de son contenu pour procédure stéréotaxique
ACQN004,"Remnographie [IRM] du crâne et de son contenu, avec étude de la viabilité du parenchyme cérébral par imagerie de diffusion et de perfusion"
ACQP001,Repérage d'une structure nerveuse et guidage peropératoires assistés par ordinateur [Neuronavigation]
ADCA001,"Déroutement et suture du nerf facial, par abord transmastoïdien"
ADCA002,Suture de plaie du nerf facial extrapétreux
ADCA003,"Déroutement et suture du nerf facial, par abord suprapétreux"
ADCA004,"Déroutement du nerf alvéolaire inférieur [dentaire inférieur], par abord intrabuccal"
ADCA005,Anastomose extracrânienne entre deux nerfs crâniens
ADCA006,"Suture de plaie d'un nerf crânien, par craniotomie"
ADCA007,"Déroutement et suture du nerf facial, par abord translabyrinthique"
ADEA001,"Autogreffe du nerf facial, par abord transmastoïdien"
ADEA002,Autogreffe du nerf facial extrapétreux
ADEA003,"Autogreffe du nerf facial avec déroutement, par abord translabyrinthique"
ADEA004,"Autogreffe du nerf facial, par abord suprapétreux et/ou par abord rétrosigmoïdien"
ADEA005,"Autogreffe de nerf crânien, par craniotomie"
ADFA002,Exérèse de lésion extracrânienne d'un nerf crânien avec réparation immédiate par autogreffe
ADFA003,Exérèse de lésion du nerf facial extrapétreux sans réparation immédiate
ADFA004,Exérèse de lésion du nerf facial intrapétreux avec réparation immédiate
ADFA005,Exérèse de lésion extracrânienne d'un nerf crânien sans réparation immédiate
ADFA006,Exérèse de lésion du nerf facial extrapétreux avec réparation immédiate
ADLB001,Infiltration thérapeutique de branche terminale du nerf trijumeau
ADLH001,"Infiltration anesthésique du ganglion trigéminal avec évaluation diagnostique et pronostique, avec guidage radiologique"
ADLH002,"Infiltration anesthésique d'une branche de division du nerf trijumeau avec évaluation diagnostique et pronostique, avec guidage radiologique"
ADLH003,"Infiltration anesthésique du nerf glossopharyngien avec évaluation diagnostique et pronostique, avec guidage radiologique"
ADNB001,"Destruction sélective de branche terminale du nerf trijumeau, par voie transcutanée ou transmuqueuse sans guidage"
ADNH001,"Destruction sélective du nerf glossopharyngien, par voie transcutanée avec guidage radiologique"
ADNH002,"Destruction sélective de branche terminale du nerf trijumeau, par voie transcutanée avec guidage radiologique"
ADPA001,"Décompression du nerf optique, par craniotomie"
ADPA002,"Vagotomie tronculaire postérieure avec séromyotomie oesogastrique antérieure, par laparotomie"
ADPA003,"Section d'une branche extracrânienne du nerf trijumeau, par abord direct"
ADPA004,"Décompression du nerf alvéolaire inférieur [dentaire inférieur], par abord intrabuccal"
ADPA005,"Neurotomie vestibulaire, par abord translabyrinthique"
ADPA007,"Neurotomie vestibulaire, par abord suprapétreux"
ADPA008,"Décompression du nerf facial, par abord transmastoïdien"
ADPA009,"Section des nerfs pétreux, par abord suprapétreux"
ADPA010,"Neurotomie vestibulaire, par abord rétrolabyrinthique"
ADPA011,"Décompression du nerf facial, par abord suprapétreux"
ADPA012,Section du nerf ampullaire postérieur
ADPA013,"Section de nerf crânien, par abord infraoccipital rétrosigmoïdien"
ADPA014,"Vagotomie tronculaire, par thoracotomie"
ADPA015,Section du nerf du canal ptérygoïdien [Neurotomie vidienne]
ADPA016,"Décompression du nerf infraorbitaire, par abord direct"
ADPA017,Section du nerf tympanique [de Jacobson] dans le cavum tympanique
ADPA018,"Vagotomie tronculaire avec gastrojéjunostomie, par laparotomie"
ADPA019,"Vagotomie suprasélective, par laparotomie"
ADPA020,"Décompression du nerf optique, par abord orbitaire"
ADPA021,"Décompression du nerf facial, par abord transmastoïdien et par abord suprapétreux"
ADPA022,"Vagotomie tronculaire, par laparotomie"
ADPA023,"Décompression du nerf optique, par abord transsinusien [transethmoïdal]"
ADPA024,"Vagotomie tronculaire avec antrectomie gastrique, par laparotomie"
ADPC001,"Vagotomie tronculaire, par coelioscopie"
ADPC002,"Vagotomie suprasélective, par coelioscopie"
ADPC003,"Vagotomie tronculaire postérieure avec séromyotomie oesogastrique antérieure, par coelioscopie"
ADPC004,"Vagotomie tronculaire, par thoracoscopie"
ADQB001,"Électromyographie de détection du muscle ptérygoïdien latéral, par électrode aiguille"
ADQB002,"Électromyographie [EMG] unilatérale ou bilatérale de détection du muscle releveur de la paupière supérieure et/ou des muscles oculomoteurs, par électrode aiguille"
ADQB003,Examen du nerf facial par stimulation électrique et détection clinique
ADQB007,Mesure du réflexe trigéminopalpébral [réflexe de clignement] [Blink test] et/ou du réflexe massétérin
ADQP002,Électrooculographie sensorielle [EOG sensorielle]
ADQP003,Électrooculographie motrice [EOG motrice]
ADQP004,Électroneurographie faciale
ADQP006,Électrogustométrie
ADQP007,"Électrorétinographie [ERG] par flash lumineux, avec mesure des amplitudes et latences des réponses, et étude des potentiels évoqués visuels [PEV]"
AEFA001,"Exérèse de lésion de la moelle épinière sur un étage vertébral, par abord postérieur"
AEFA002,"Exérèse de lésion de la moelle épinière sur plusieurs étages vertébraux, par abord postérieur"
AEFA003,"Exérèse de lésion du cône médullaire, par abord postérieur"
AEGA001,"Ablation d'électrode de stimulation de la moelle épinière, par abord direct"
AEGB001,"Ablation d'électrode de stimulation de la moelle épinière, par voie transcutanée"
AEJA001,"Parage et fermeture de plaie pénétrante vertébrospinale, par abord antérieur ou antérolatéral"
AEJA002,"Parage et fermeture de plaie pénétrante vertébrospinale avec ostéosynthèse vertébrale, par abord antérieur ou antérolatéral"
AEJA003,Évacuation d'hématome intraspinal [hématomyélie]
AEJA004,"Parage et fermeture de plaie pénétrante vertébrospinale, par abord postérieur"
AEJA005,"Parage et fermeture de plaie pénétrante vertébrospinale avec ostéosynthèse vertébrale, par abord postérieur"
AELA001,"Implantation d'électrode de stimulation de la moelle épinière à visée thérapeutique, par abord direct"
AELB001,"Implantation d'électrode de stimulation de la moelle épinière à visée thérapeutique par voie transcutanée, avec implantation souscutanée d'un générateur de stimulation neurologique"
AELB002,"Implantation d'électrode de stimulation de la moelle épinière à visée thérapeutique, par voie transcutanée"
AENA001,"Destruction sélective de la corne postérieure de la moelle épinière ou de la jonction radicellospinale, par abord postérieur"
AEPA001,"Libération de moelle attachée, par abord postérieur"
AEPA002,"Myélotomie, commissurotomie ou cordotomie spinale, par abord postérieur"
AEPA004,"Libération d'une diastématomyélie, par abord postérieur"
AEPB001,"Cordotomie spinale, par voie transcutanée"
AEQH001,Myélographie dorsale et/ou lombale
AEQH002,Myélographie cervicale
AEQM001,Échographie transcutanée de la moelle épinière
AFCA001,"Dérivation d'une cavité liquidienne intraspinale [syringomyélique] ou périspinale dans l'espace subarachnoïdien rachidien, par abord direct"
AFCA002,"Dérivation lombopéritonéale du liquide cérébrospinal subarachnoïdien rachidien, par abord direct"
AFCA003,"Dérivation d'une cavité liquidienne intraspinale [syringomyélique] ou périspinale en dehors de l'espace subarachnoïdien rachidien, par abord direct"
AFCA004,Dérivation externe du liquide cérébrospinal subarachnoïdien rachidien
AFFA001,"Exérèse de tumeur intradurale extraspinale sans reconstruction vertébrale, par abord antérieur ou antérolatéral"
AFFA002,"Exérèse de tumeur en sablier extracanalaire et intracanalaire vertébrale avec reconstruction vertébrale, par abord postérieur ou postérolatéral"
AFFA003,"Exérèse de tumeur en sablier extracanalaire et intracanalaire vertébrale sans reconstruction vertébrale, par abord postérieur ou postérolatéral"
AFFA004,"Exérèse de kyste méningé intracanalaire vertébral, par abord postérieur"
AFFA005,"Exérèse de tumeur épidurale rachidienne avec ostéosynthèse vertébrale, par abord postérieur"
AFFA006,Exérèse d'une fistule dermique avec prolongement intradural rachidien
AFFA007,"Exérèse de tumeur intradurale extraspinale, par abord postérieur ou postérolatéral"
AFFA008,"Exérèse de tumeur en sablier extracanalaire et intracanalaire vertébrale sans reconstruction vertébrale, par abord antérieur ou antérolatéral"
AFFA009,"Exérèse de tumeur intradurale extraspinale avec reconstruction vertébrale, par abord antérieur ou antérolatéral"
AFFA010,"Exérèse de tumeur épidurale rachidienne, par abord postérieur"
AFFA011,"Exérèse de tumeur en sablier extracanalaire et intracanalaire vertébrale avec reconstruction vertébrale, par abord antérieur ou antérolatéral"
AFGA001,Ablation d'un système diffuseur ou d'une pompe implanté souscutané et du cathéter péridural [épidural] ou intrathécal spinal
AFGA002,"Ablation d'une dérivation interne intraspinale du liquide cérébrospinal rachidien, par abord direct"
AFGA003,Ablation d'une pompe souscutanée à infusion continue et du cathéter péridural [épidural] ou intrathécal spinal
AFHB001,"Ponction de liquide cérébrospinal, par voie infraoccipitale ou latérocervicale transcutanée [Ponction sousoccipitale]"
AFHB002,"Ponction de liquide cérébrospinal, par voie lombale transcutanée [Ponction lombaire]"
AFJA001,"Évacuation d'hématome péridural [épidural] rachidien, par abord direct"
AFJA002,"Parage d'une épidurite et/ou d'une spondylodiscite sans reconstruction vertébrale, par abord direct"
AFJA003,"Évacuation d'hématome intradural rachidien, par abord direct"
AFJA004,"Évacuation d'hématome péridural [épidural] rachidien postopératoire, par abord direct"
AFJA005,"Parage d'une épidurite et/ou d'une spondylodiscite avec reconstruction vertébrale par greffe et/ou ostéosynthèse, par abord direct"
AFJB002,"Évacuation de liquide cérébrospinal, par voie transcutanée lombale"
AFKB001,Changement d'un cathéter intrathécal spinal relié à un système diffuseur ou une pompe implanté souscutané
AFKB002,Changement d'un cathéter péridural [épidural] relié à un système diffuseur ou à une pompe implanté souscutané
AFLA001,"Pose d'une pompe souscutanée à infusion continue, avec cathéter intrathécal spinal"
AFLA002,"Pose d'une pompe souscutanée à infusion continue, avec cathéter péridural [épidural] rachidien"
AFLA003,"Pose d'un cathéter intrathécal ou intrakystique spinal, avec pose d'un système diffuseur ou d'une pompe implantable souscutané"
AFLB001,Injection péridurale [épidurale] de sang autologue [Blood patch]
AFLB003,"Séance d'injection intrathécale d'agent pharmacologique anticancéreux, par voie transcutanée"
AFLB004,"Pose d'un cathéter intrathécal spinal par voie lombale transcutanée, avec mesure instantanée de la pression du liquide cérébrospinal et tests dynamiques"
AFLB006,"Injection thérapeutique intrathécale d'agent pharmacologique, par voie transcutanée sans guidage"
AFLB007,"Injection thérapeutique péridurale [épidurale] d'agent pharmacologique, sans guidage"
AFLB008,"Pose d'un cathéter péridural [épidural], avec pose d'un système diffuseur ou d'une pompe implantable souscutané"
AFLB009,"Pose d'un cathéter intrathécal spinal, sans pose de système diffuseur implantable souscutané"
AFLB010,Anesthésie rachidienne au cours d'un accouchement par voie basse
AFLF004,Séance d'administration intrathécale d'agent pharmacologique anticancéreux par un dispositif implanté
AFLF005,"Administration intrathécale ou intrakystique spinale d'agent pharmacologique au long cours par un dispositif implanté, par 24 heures"
AFLF006,"Administration péridurale [épidurale] d'agent pharmacologique au long cours par un dispositif implanté, par 24 heures"
AFLH001,"Injection thérapeutique péridurale [épidurale] d'agent pharmacologique, par voie transcutanée avec guidage radiologique"
AFLH002,"Injection thérapeutique intrathécale d'agent pharmacologique, par voie transcutanée avec guidage radiologique"
AFPA001,"Mise à plat de lésion infectieuse péridurale rachidienne et/ou paravertébrale postopératoire [sepsis], par abord direct"
AFQH001,Saccoradiculographie avec scanographie de la colonne vertébrale
AFQH002,Saccoradiculographie
AFSA001,"Fermeture d'un spina bifida avec myéloméningocèle, par abord postérieur"
AFSA002,"Fermeture d'un spina bifida avec méningocèle, par abord postérieur"
AFSA003,Fermeture d'une fistule de liquide cérébrospinal ou d'une méningocèle postopératoire spinale
AGLB001,"Injection péridurale [épidurale] d'agent pharmacologique à visée antalgique, avec évaluation diagnostique et pronostique"
AGMA001,"Réparation de perte de substance durale de plus de 10 cm² par greffe ou substitut, au cours d'une intervention intracrânienne ou intrarachidienne"
AGQC001,Endoscopie intradurale peropératoire
AGQP004,"Surveillance peropératoire des potentiels évoqués moteurs, sensoriels ou somesthésiques, pendant plus de 4 heures"
AGQP005,"Surveillance peropératoire des potentiels évoqués moteurs, sensoriels ou somesthésiques pendant 2 à 4 heures"
AGQP006,"Surveillance peropératoire des potentiels évoqués moteurs, sensoriels ou somesthésiques, pendant moins de 2 heures"
AHCA001,"Suture, autogreffe non pédiculée et/ou neurotisation du plexus brachial, par abord supraclaviculaire"
AHCA002,"Suture de plaies de 2 nerfs digitaux palmaires et d'une artère digitale palmaire, sur un rayon de la main"
AHCA003,"Suture de plaie de nerf à la cheville ou au pied, par abord direct"
AHCA004,"Suture de plaie du nerf fémoral [crural], par abord direct"
AHCA005,"Suture de plaie du nerf musculocutané, par abord direct"
AHCA006,"Suture de plaies du nerf médian et du nerf ulnaire au poignet, par abord direct"
AHCA007,"Suture de plaie d'un nerf cervicofacial, par abord direct"
AHCA008,"Suture de plaies du nerf médian et du nerf ulnaire au poignet avec suture de plaie de l'artère radiale ou de l'artère ulnaire, par abord direct"
AHCA009,"Suture de plaie du nerf radial au bras ou au coude, par abord direct"
AHCA010,"Suture de plaie du nerf sciatique à la cuisse, par abord direct"
AHCA011,"Suture de plaie du nerf tibial [sciatique poplité interne], par abord direct"
AHCA012,"Suture de plaie du nerf médian ou du nerf ulnaire au poignet avec suture de plaie de l'artère radiale ou de l'artère ulnaire, par abord direct"
AHCA013,"Suture de plaies de 2 nerfs digitaux palmaires, sur un rayon de la main"
AHCA014,"Suture, greffe et/ou neurotisation du plexus lombosacral, par abord direct"
AHCA015,"Suture de plaies d'un nerf digital palmaire et d'une artère digitale palmaire, sur un rayon de la main"
AHCA016,"Suture de plaie de nerf profond du membre supérieur en amont du poignet, par abord direct"
